id,query,cloud_environment,deployment_model,government_domain,data_classification,jurisdiction,policy_framework,governance_rule,ai_action,decision_explanation,risk_level,compliance_status,human_override_required,final_outcome,identity_context,security_control,audit_trace,timestamp,agency_type,region
FAGDD-050,Can a hybrid care coordination assistant access restricted referral data when identity claims are partially missing The decision must preserve sovereign routing and identity context evidence.,Azure,Agency-managed on-prem orchestration with cloud failover,healthcare,Mission Critical,Cross-Border Public Sector Coalition,ISO/IEC 22989:2022,Federated policy execution must preserve explainability artifacts for each approval or denial event.,Restricted,"The policy result reflects identity verification, classification handling, and federated audit obligations required by the selected governance framework.",High,Requires Review,Yes,Escalated,Automated orchestration identity awaiting secondary policy attestation,Identity-aware proxy with workload attestation and token inspection,"Audit event FAGDD-050 recorded federated policy evaluation in Azure; region=US-East; action=Restricted; compliance=Requires Review; identity claims, governance rule check, and control evidence were archived.",2025-01-15T16:10:00,State Government,US-East
FAGDD-051,Should a federated clinical triage model be allowed to query sensitive case summaries across sovereign clouds The request includes policy-sensitive data handling constraints.,Azure,Centralized model registry with federated policy enforcement,healthcare,Public,Federal,NIST SP 800-207,Cross-tenant inference is blocked unless identity provenance is verified and the audit chain is complete.,Allowed,"The decision was derived by comparing the request against identity posture, sovereignty requirements, governance controls, and the referenced policy framework before determining the permitted AI action.",Medium,Partially Compliant,No,Approved,Privileged analyst with conditional access and device trust attestation,Zero Trust network segmentation with policy decision point validation,"Audit event FAGDD-051 recorded federated policy evaluation in Azure; region=US-West; action=Allowed; compliance=Partially Compliant; identity claims, governance rule check, and control evidence were archived.",2025-01-15T20:21:00,State Government,US-West
FAGDD-052,Can a public health AI workflow route vaccination eligibility analytics from a regional cloud to a national oversight tenant The request includes policy-sensitive data handling constraints.,Azure,Regional sovereign enclave with cross-cloud model routing,healthcare,Internal,State,EU AI Act 2024,Sensitive data movement requires sovereign routing and conditional approval under policy review.,Allowed,"The governance engine selected this outcome because the request crossed one or more policy boundaries involving jurisdiction, access assurance, and auditability in a federated cloud environment.",Low,Compliant,No,Approved,Agency operator using federated identity with region-bound claims,Confidential compute requirement with region-bound key management,"Audit event FAGDD-052 recorded federated policy evaluation in Azure; region=US-West; action=Allowed; compliance=Compliant; identity claims, governance rule check, and control evidence were archived.",2025-01-16T00:32:00,State Government,US-West
FAGDD-053,Should an agency permit cross-cloud retrieval of telehealth prioritization outputs for emergency surge planning The request includes policy-sensitive data handling constraints.,Azure,Hybrid inference pipeline with local data residency controls,healthcare,Sensitive,County,NIST AI RMF 2023; NIST SP 800-207,High-impact automated decisions require dual logging and human oversight before production release.,Blocked,"The explanation reflects a standards-aware control decision in which the deployment model, classification level, and security control posture were evaluated before approval, denial, or escalation.",Critical,Non-Compliant,Yes,Denied,Service principal request with workload identity and scoped token exchange,Attribute-based access control with sovereign boundary enforcement,"Audit event FAGDD-053 recorded federated policy evaluation in Azure; region=US-West; action=Blocked; compliance=Non-Compliant; identity claims, governance rule check, and control evidence were archived.",2025-01-16T04:43:00,State Government,US-West
FAGDD-054,Can a hybrid care coordination assistant access restricted referral data when identity claims are partially missing The request includes policy-sensitive data handling constraints.,Azure,Multi-cloud governance mesh with shared audit services,healthcare,Restricted,City,NIST AI RMF 2023; ISO/IEC 22989:2022,Model invocation is restricted when zero-trust controls do not match jurisdictional access policy.,Escalated,"The response was generated after reviewing synthetic governance metadata, federated access conditions, and compliance thresholds associated with multi-cloud government AI operations.",High,Partially Compliant,Yes,Approved with Conditions,Cross-agency reviewer with just-in-time access and session logging,Continuous audit logging with immutable retention policy,"Audit event FAGDD-054 recorded federated policy evaluation in Azure; region=US-West; action=Escalated; compliance=Partially Compliant; identity claims, governance rule check, and control evidence were archived.",2025-01-16T08:54:00,State Government,US-West
FAGDD-055,Should a federated clinical triage model be allowed to query sensitive case summaries across sovereign clouds The case requires a traceable governance decision for later audit.,Azure,Agency-managed on-prem orchestration with cloud failover,healthcare,Mission Critical,Cross-Border Public Sector Coalition,EU AI Act 2024; ISO/IEC 22989:2022,Federated policy execution must preserve explainability artifacts for each approval or denial event.,Allowed,"The policy result reflects identity verification, classification handling, and federated audit obligations required by the selected governance framework.",Medium,Partially Compliant,No,Approved with Conditions,Automated orchestration identity awaiting secondary policy attestation,Identity-aware proxy with workload attestation and token inspection,"Audit event FAGDD-055 recorded federated policy evaluation in Azure; region=US-West; action=Allowed; compliance=Partially Compliant; identity claims, governance rule check, and control evidence were archived.",2025-01-16T12:05:00,State Government,US-West
FAGDD-056,Can a public health AI workflow route vaccination eligibility analytics from a regional cloud to a national oversight tenant The case requires a traceable governance decision for later audit.,Azure,Centralized model registry with federated policy enforcement,healthcare,Public,Federal,NIST AI RMF 2023; EU AI Act 2024; NIST SP 800-207,Cross-tenant inference is blocked unless identity provenance is verified and the audit chain is complete.,Allowed,"The decision was derived by comparing the request against identity posture, sovereignty requirements, governance controls, and the referenced policy framework before determining the permitted AI action.",Low,Compliant,No,Approved,Privileged analyst with conditional access and device trust attestation,Zero Trust network segmentation with policy decision point validation,"Audit event FAGDD-056 recorded federated policy evaluation in Azure; region=US-West; action=Allowed; compliance=Compliant; identity claims, governance rule check, and control evidence were archived.",2025-01-16T16:16:00,State Government,US-West
FAGDD-057,Should an agency permit cross-cloud retrieval of telehealth prioritization outputs for emergency surge planning The case requires a traceable governance decision for later audit.,Azure,Regional sovereign enclave with cross-cloud model routing,healthcare,Internal,State,NIST AI RMF 2023,Sensitive data movement requires sovereign routing and conditional approval under policy review.,Blocked,"The governance engine selected this outcome because the request crossed one or more policy boundaries involving jurisdiction, access assurance, and auditability in a federated cloud environment.",Critical,Non-Compliant,Yes,Denied,Agency operator using federated identity with region-bound claims,Confidential compute requirement with region-bound key management,"Audit event FAGDD-057 recorded federated policy evaluation in Azure; region=US-West; action=Blocked; compliance=Non-Compliant; identity claims, governance rule check, and control evidence were archived.",2025-01-16T20:27:00,State Government,US-West
FAGDD-058,Can a hybrid care coordination assistant access restricted referral data when identity claims are partially missing The case requires a traceable governance decision for later audit.,Azure,Hybrid inference pipeline with local data residency controls,healthcare,Sensitive,County,ISO/IEC 22989:2022,High-impact automated decisions require dual logging and human oversight before production release.,Restricted,"The explanation reflects a standards-aware control decision in which the deployment model, classification level, and security control posture were evaluated before approval, denial, or escalation.",High,Requires Review,Yes,Escalated,Service principal request with workload identity and scoped token exchange,Attribute-based access control with sovereign boundary enforcement,"Audit event FAGDD-058 recorded federated policy evaluation in Azure; region=US-West; action=Restricted; compliance=Requires Review; identity claims, governance rule check, and control evidence were archived.",2025-01-17T00:38:00,State Government,US-West
FAGDD-059,Should a federated clinical triage model be allowed to query sensitive case summaries across sovereign clouds The request originated from a cross-cloud review queue.,Azure,Multi-cloud governance mesh with shared audit services,healthcare,Restricted,City,NIST SP 800-207,Model invocation is restricted when zero-trust controls do not match jurisdictional access policy.,Allowed,"The response was generated after reviewing synthetic governance metadata, federated access conditions, and compliance thresholds associated with multi-cloud government AI operations.",Medium,Partially Compliant,No,Approved with Conditions,Cross-agency reviewer with just-in-time access and session logging,Continuous audit logging with immutable retention policy,"Audit event FAGDD-059 recorded federated policy evaluation in Azure; region=US-West; action=Allowed; compliance=Partially Compliant; identity claims, governance rule check, and control evidence were archived.",2025-01-17T04:49:00,State Government,US-West
FAGDD-060,Can a public health AI workflow route vaccination eligibility analytics from a regional cloud to a national oversight tenant The request originated from a cross-cloud review queue.,Azure,Agency-managed on-prem orchestration with cloud failover,healthcare,Mission Critical,Cross-Border Public Sector Coalition,EU AI Act 2024,Federated policy execution must preserve explainability artifacts for each approval or denial event.,Logged,"The policy result reflects identity verification, classification handling, and federated audit obligations required by the selected governance framework.",Low,Compliant,No,Approved,Automated orchestration identity awaiting secondary policy attestation,Identity-aware proxy with workload attestation and token inspection,"Audit event FAGDD-060 recorded federated policy evaluation in Azure; region=US-West; action=Logged; compliance=Compliant; identity claims, governance rule check, and control evidence were archived.",2025-01-17T08:00:00,State Government,US-West
FAGDD-061,Should an agency permit cross-cloud retrieval of telehealth prioritization outputs for emergency surge planning The request originated from a cross-cloud review queue.,Azure,Centralized model registry with federated policy enforcement,healthcare,Public,Federal,NIST AI RMF 2023; NIST SP 800-207,Cross-tenant inference is blocked unless identity provenance is verified and the audit chain is complete.,Blocked,"The decision was derived by comparing the request against identity posture, sovereignty requirements, governance controls, and the referenced policy framework before determining the permitted AI action.",Critical,Non-Compliant,Yes,Denied,Privileged analyst with conditional access and device trust attestation,Zero Trust network segmentation with policy decision point validation,"Audit event FAGDD-061 recorded federated policy evaluation in Azure; region=US-West; action=Blocked; compliance=Non-Compliant; identity claims, governance rule check, and control evidence were archived.",2025-01-17T12:11:00,State Government,US-West
FAGDD-062,Can a hybrid care coordination assistant access restricted referral data when identity claims are partially missing The request originated from a cross-cloud review queue.,Azure,Regional sovereign enclave with cross-cloud model routing,healthcare,Internal,State,NIST AI RMF 2023; ISO/IEC 22989:2022,Sensitive data movement requires sovereign routing and conditional approval under policy review.,Restricted,"The governance engine selected this outcome because the request crossed one or more policy boundaries involving jurisdiction, access assurance, and auditability in a federated cloud environment.",High,Requires Review,Yes,Escalated,Agency operator using federated identity with region-bound claims,Confidential compute requirement with region-bound key management,"Audit event FAGDD-062 recorded federated policy evaluation in Azure; region=US-West; action=Restricted; compliance=Requires Review; identity claims, governance rule check, and control evidence were archived.",2025-01-17T16:22:00,State Government,US-West
FAGDD-063,Should a federated clinical triage model be allowed to query sensitive case summaries across sovereign clouds The workflow requires a transparent explanation for supervisory approval.,Azure,Hybrid inference pipeline with local data residency controls,healthcare,Sensitive,County,EU AI Act 2024; ISO/IEC 22989:2022,High-impact automated decisions require dual logging and human oversight before production release.,Allowed,"The explanation reflects a standards-aware control decision in which the deployment model, classification level, and security control posture were evaluated before approval, denial, or escalation.",Medium,Partially Compliant,No,Approved,Service principal request with workload identity and scoped token exchange,Attribute-based access control with sovereign boundary enforcement,"Audit event FAGDD-063 recorded federated policy evaluation in Azure; region=US-West; action=Allowed; compliance=Partially Compliant; identity claims, governance rule check, and control evidence were archived.",2025-01-17T20:33:00,State Government,US-West
FAGDD-064,Can a public health AI workflow route vaccination eligibility analytics from a regional cloud to a national oversight tenant The workflow requires a transparent explanation for supervisory approval.,Azure,Multi-cloud governance mesh with shared audit services,healthcare,Restricted,City,NIST AI RMF 2023; EU AI Act 2024; NIST SP 800-207,Model invocation is restricted when zero-trust controls do not match jurisdictional access policy.,Allowed,"The response was generated after reviewing synthetic governance metadata, federated access conditions, and compliance thresholds associated with multi-cloud government AI operations.",Low,Compliant,No,Approved,Cross-agency reviewer with just-in-time access and session logging,Continuous audit logging with immutable retention policy,"Audit event FAGDD-064 recorded federated policy evaluation in Azure; region=US-West; action=Allowed; compliance=Compliant; identity claims, governance rule check, and control evidence were archived.",2025-01-18T00:44:00,State Government,US-West
FAGDD-065,Should an agency permit cross-cloud retrieval of telehealth prioritization outputs for emergency surge planning The workflow requires a transparent explanation for supervisory approval.,Azure,Agency-managed on-prem orchestration with cloud failover,healthcare,Mission Critical,Cross-Border Public Sector Coalition,NIST AI RMF 2023,Federated policy execution must preserve explainability artifacts for each approval or denial event.,Blocked,"The policy result reflects identity verification, classification handling, and federated audit obligations required by the selected governance framework.",Critical,Non-Compliant,Yes,Denied,Automated orchestration identity awaiting secondary policy attestation,Identity-aware proxy with workload attestation and token inspection,"Audit event FAGDD-065 recorded federated policy evaluation in Azure; region=US-West; action=Blocked; compliance=Non-Compliant; identity claims, governance rule check, and control evidence were archived.",2025-01-18T04:55:00,State Government,US-West
FAGDD-066,Can a hybrid care coordination assistant access restricted referral data when identity claims are partially missing The workflow requires a transparent explanation for supervisory approval.,Azure,Centralized model registry with federated policy enforcement,healthcare,Public,Federal,ISO/IEC 22989:2022,Cross-tenant inference is blocked unless identity provenance is verified and the audit chain is complete.,Escalated,"The decision was derived by comparing the request against identity posture, sovereignty requirements, governance controls, and the referenced policy framework before determining the permitted AI action.",High,Partially Compliant,Yes,Approved with Conditions,Privileged analyst with conditional access and device trust attestation,Zero Trust network segmentation with policy decision point validation,"Audit event FAGDD-066 recorded federated policy evaluation in Azure; region=US-West; action=Escalated; compliance=Partially Compliant; identity claims, governance rule check, and control evidence were archived.",2025-01-18T08:06:00,State Government,US-West
FAGDD-067,Should a federated clinical triage model be allowed to query sensitive case summaries across sovereign clouds The decision must preserve sovereign routing and identity context evidence.,Azure,Regional sovereign enclave with cross-cloud model routing,healthcare,Internal,State,NIST SP 800-207,Sensitive data movement requires sovereign routing and conditional approval under policy review.,Allowed,"The governance engine selected this outcome because the request crossed one or more policy boundaries involving jurisdiction, access assurance, and auditability in a federated cloud environment.",Medium,Partially Compliant,No,Approved with Conditions,Agency operator using federated identity with region-bound claims,Confidential compute requirement with region-bound key management,"Audit event FAGDD-067 recorded federated policy evaluation in Azure; region=US-West; action=Allowed; compliance=Partially Compliant; identity claims, governance rule check, and control evidence were archived.",2025-01-18T12:17:00,State Government,US-West
FAGDD-068,Can a public health AI workflow route vaccination eligibility analytics from a regional cloud to a national oversight tenant The decision must preserve sovereign routing and identity context evidence.,Azure,Hybrid inference pipeline with local data residency controls,healthcare,Sensitive,County,EU AI Act 2024,High-impact automated decisions require dual logging and human oversight before production release.,Allowed,"The explanation reflects a standards-aware control decision in which the deployment model, classification level, and security control posture were evaluated before approval, denial, or escalation.",Low,Compliant,No,Approved,Service principal request with workload identity and scoped token exchange,Attribute-based access control with sovereign boundary enforcement,"Audit event FAGDD-068 recorded federated policy evaluation in Azure; region=US-West; action=Allowed; compliance=Compliant; identity claims, governance rule check, and control evidence were archived.",2025-01-18T16:28:00,State Government,US-West
FAGDD-069,Should an agency permit cross-cloud retrieval of telehealth prioritization outputs for emergency surge planning The decision must preserve sovereign routing and identity context evidence.,Azure,Multi-cloud governance mesh with shared audit services,healthcare,Restricted,City,NIST AI RMF 2023; NIST SP 800-207,Model invocation is restricted when zero-trust controls do not match jurisdictional access policy.,Blocked,"The response was generated after reviewing synthetic governance metadata, federated access conditions, and compliance thresholds associated with multi-cloud government AI operations.",Critical,Non-Compliant,Yes,Denied,Cross-agency reviewer with just-in-time access and session logging,Continuous audit logging with immutable retention policy,"Audit event FAGDD-069 recorded federated policy evaluation in Azure; region=US-West; action=Blocked; compliance=Non-Compliant; identity claims, governance rule check, and control evidence were archived.",2025-01-18T20:39:00,State Government,US-West
FAGDD-070,Can a hybrid care coordination assistant access restricted referral data when identity claims are partially missing The decision must preserve sovereign routing and identity context evidence.,Azure,Agency-managed on-prem orchestration with cloud failover,healthcare,Mission Critical,Cross-Border Public Sector Coalition,NIST AI RMF 2023; ISO/IEC 22989:2022,Federated policy execution must preserve explainability artifacts for each approval or denial event.,Restricted,"The policy result reflects identity verification, classification handling, and federated audit obligations required by the selected governance framework.",High,Requires Review,Yes,Escalated,Automated orchestration identity awaiting secondary policy attestation,Identity-aware proxy with workload attestation and token inspection,"Audit event FAGDD-070 recorded federated policy evaluation in Azure; region=US-West; action=Restricted; compliance=Requires Review; identity claims, governance rule check, and control evidence were archived.",2025-01-19T00:50:00,State Government,US-West
FAGDD-071,Can a public health AI workflow route vaccination eligibility analytics from a regional cloud to a national oversight tenant The request includes policy-sensitive data handling constraints.,Azure,Centralized model registry with federated policy enforcement,healthcare,Public,Federal,EU AI Act 2024; ISO/IEC 22989:2022,Cross-tenant inference is blocked unless identity provenance is verified and the audit chain is complete.,Allowed,"The decision was derived by comparing the request against identity posture, sovereignty requirements, governance controls, and the referenced policy framework before determining the permitted AI action.",Medium,Partially Compliant,No,Approved with Conditions,Privileged analyst with conditional access and device trust attestation,Zero Trust network segmentation with policy decision point validation,"Audit event FAGDD-071 recorded federated policy evaluation in Azure; region=US-West; action=Allowed; compliance=Partially Compliant; identity claims, governance rule check, and control evidence were archived.",2025-01-19T04:01:00,State Government,US-West
FAGDD-072,Should an agency permit cross-cloud retrieval of telehealth prioritization outputs for emergency surge planning The request includes policy-sensitive data handling constraints.,Azure,Regional sovereign enclave with cross-cloud model routing,healthcare,Internal,State,NIST AI RMF 2023; EU AI Act 2024; NIST SP 800-207,Sensitive data movement requires sovereign routing and conditional approval under policy review.,Allowed,"The governance engine selected this outcome because the request crossed one or more policy boundaries involving jurisdiction, access assurance, and auditability in a federated cloud environment.",Low,Compliant,No,Approved,Agency operator using federated identity with region-bound claims,Confidential compute requirement with region-bound key management,"Audit event FAGDD-072 recorded federated policy evaluation in Azure; region=US-West; action=Allowed; compliance=Compliant; identity claims, governance rule check, and control evidence were archived.",2025-01-19T08:12:00,State Government,US-West
FAGDD-073,Should a federated case-assistance model be blocked when audit continuity breaks across justice cloud environments The request originated from a cross-cloud review queue.,Azure,Hybrid inference pipeline with local data residency controls,justice,Sensitive,County,NIST AI RMF 2023,High-impact automated decisions require dual logging and human oversight before production release.,Blocked,"The explanation reflects a standards-aware control decision in which the deployment model, classification level, and security control posture were evaluated before approval, denial, or escalation.",Critical,Non-Compliant,Yes,Denied,Service principal request with workload identity and scoped token exchange,Attribute-based access control with sovereign boundary enforcement,"Audit event FAGDD-073 recorded federated policy evaluation in Azure; region=US-West; action=Blocked; compliance=Non-Compliant; identity claims, governance rule check, and control evidence were archived.",2025-01-19T12:23:00,State Government,US-West
FAGDD-074,Can a legal services assistant use multi-cloud retrieval for sealed records review under conditional access The request originated from a cross-cloud review queue.,Azure,Multi-cloud governance mesh with shared audit services,justice,Restricted,City,ISO/IEC 22989:2022,Model invocation is restricted when zero-trust controls do not match jurisdictional access policy.,Restricted,"The response was generated after reviewing synthetic governance metadata, federated access conditions, and compliance thresholds associated with multi-cloud government AI operations.",High,Requires Review,Yes,Escalated,Cross-agency reviewer with just-in-time access and session logging,Continuous audit logging with immutable retention policy,"Audit event FAGDD-074 recorded federated policy evaluation in Azure; region=US-West; action=Restricted; compliance=Requires Review; identity claims, governance rule check, and control evidence were archived.",2025-01-19T16:34:00,State Government,US-West
FAGDD-075,Should a justice analytics workflow be escalated when jurisdictional residency controls conflict with model routing The request originated from a cross-cloud review queue.,Azure,Agency-managed on-prem orchestration with cloud failover,justice,Mission Critical,Cross-Border Public Sector Coalition,NIST SP 800-207,Federated policy execution must preserve explainability artifacts for each approval or denial event.,Allowed,"The policy result reflects identity verification, classification handling, and federated audit obligations required by the selected governance framework.",Medium,Partially Compliant,No,Approved,Automated orchestration identity awaiting secondary policy attestation,Identity-aware proxy with workload attestation and token inspection,"Audit event FAGDD-075 recorded federated policy evaluation in Azure; region=US-West; action=Allowed; compliance=Partially Compliant; identity claims, governance rule check, and control evidence were archived.",2025-01-19T20:45:00,State Government,US-West
FAGDD-076,Can a regional court-support agent invoke an external policy model without full identity provenance The request originated from a cross-cloud review queue.,Azure,Centralized model registry with federated policy enforcement,justice,Public,Federal,EU AI Act 2024,Cross-tenant inference is blocked unless identity provenance is verified and the audit chain is complete.,Allowed,"The decision was derived by comparing the request against identity posture, sovereignty requirements, governance controls, and the referenced policy framework before determining the permitted AI action.",Low,Compliant,No,Approved,Privileged analyst with conditional access and device trust attestation,Zero Trust network segmentation with policy decision point validation,"Audit event FAGDD-076 recorded federated policy evaluation in Azure; region=US-West; action=Allowed; compliance=Compliant; identity claims, governance rule check, and control evidence were archived.",2025-01-20T00:56:00,State Government,US-West
FAGDD-077,Should a federated case-assistance model be blocked when audit continuity breaks across justice cloud environments The workflow requires a transparent explanation for supervisory approval.,Azure,Regional sovereign enclave with cross-cloud model routing,justice,Internal,State,NIST AI RMF 2023; NIST SP 800-207,Sensitive data movement requires sovereign routing and conditional approval under policy review.,Blocked,"The governance engine selected this outcome because the request crossed one or more policy boundaries involving jurisdiction, access assurance, and auditability in a federated cloud environment.",Critical,Non-Compliant,Yes,Denied,Agency operator using federated identity with region-bound claims,Confidential compute requirement with region-bound key management,"Audit event FAGDD-077 recorded federated policy evaluation in Azure; region=US-West; action=Blocked; compliance=Non-Compliant; identity claims, governance rule check, and control evidence were archived.",2025-01-20T04:07:00,State Government,US-West
FAGDD-078,Can a legal services assistant use multi-cloud retrieval for sealed records review under conditional access The workflow requires a transparent explanation for supervisory approval.,Azure,Hybrid inference pipeline with local data residency controls,justice,Sensitive,County,NIST AI RMF 2023; ISO/IEC 22989:2022,High-impact automated decisions require dual logging and human oversight before production release.,Escalated,"The explanation reflects a standards-aware control decision in which the deployment model, classification level, and security control posture were evaluated before approval, denial, or escalation.",High,Partially Compliant,Yes,Approved with Conditions,Service principal request with workload identity and scoped token exchange,Attribute-based access control with sovereign boundary enforcement,"Audit event FAGDD-078 recorded federated policy evaluation in Azure; region=US-West; action=Escalated; compliance=Partially Compliant; identity claims, governance rule check, and control evidence were archived.",2025-01-20T08:18:00,State Government,US-West
FAGDD-079,Should a justice analytics workflow be escalated when jurisdictional residency controls conflict with model routing The workflow requires a transparent explanation for supervisory approval.,Azure,Multi-cloud governance mesh with shared audit services,justice,Restricted,City,EU AI Act 2024; ISO/IEC 22989:2022,Model invocation is restricted when zero-trust controls do not match jurisdictional access policy.,Allowed,"The response was generated after reviewing synthetic governance metadata, federated access conditions, and compliance thresholds associated with multi-cloud government AI operations.",Medium,Partially Compliant,No,Approved with Conditions,Cross-agency reviewer with just-in-time access and session logging,Continuous audit logging with immutable retention policy,"Audit event FAGDD-079 recorded federated policy evaluation in Azure; region=US-West; action=Allowed; compliance=Partially Compliant; identity claims, governance rule check, and control evidence were archived.",2025-01-20T12:29:00,State Government,US-West
FAGDD-080,Can a regional court-support agent invoke an external policy model without full identity provenance The workflow requires a transparent explanation for supervisory approval.,Azure,Agency-managed on-prem orchestration with cloud failover,justice,Mission Critical,Cross-Border Public Sector Coalition,NIST AI RMF 2023; EU AI Act 2024; NIST SP 800-207,Federated policy execution must preserve explainability artifacts for each approval or denial event.,Logged,"The policy result reflects identity verification, classification handling, and federated audit obligations required by the selected governance framework.",Low,Compliant,No,Approved,Automated orchestration identity awaiting secondary policy attestation,Identity-aware proxy with workload attestation and token inspection,"Audit event FAGDD-080 recorded federated policy evaluation in Azure; region=US-West; action=Logged; compliance=Compliant; identity claims, governance rule check, and control evidence were archived.",2025-01-20T16:40:00,State Government,US-West
FAGDD-081,Should a federated case-assistance model be blocked when audit continuity breaks across justice cloud environments The decision must preserve sovereign routing and identity context evidence.,Azure,Centralized model registry with federated policy enforcement,justice,Public,Federal,NIST AI RMF 2023,Cross-tenant inference is blocked unless identity provenance is verified and the audit chain is complete.,Blocked,"The decision was derived by comparing the request against identity posture, sovereignty requirements, governance controls, and the referenced policy framework before determining the permitted AI action.",Critical,Non-Compliant,Yes,Denied,Privileged analyst with conditional access and device trust attestation,Zero Trust network segmentation with policy decision point validation,"Audit event FAGDD-081 recorded federated policy evaluation in Azure; region=US-West; action=Blocked; compliance=Non-Compliant; identity claims, governance rule check, and control evidence were archived.",2025-01-20T20:51:00,State Government,US-West
FAGDD-082,Can a legal services assistant use multi-cloud retrieval for sealed records review under conditional access The decision must preserve sovereign routing and identity context evidence.,Azure,Regional sovereign enclave with cross-cloud model routing,justice,Internal,State,ISO/IEC 22989:2022,Sensitive data movement requires sovereign routing and conditional approval under policy review.,Restricted,"The governance engine selected this outcome because the request crossed one or more policy boundaries involving jurisdiction, access assurance, and auditability in a federated cloud environment.",High,Requires Review,Yes,Escalated,Agency operator using federated identity with region-bound claims,Confidential compute requirement with region-bound key management,"Audit event FAGDD-082 recorded federated policy evaluation in Azure; region=US-West; action=Restricted; compliance=Requires Review; identity claims, governance rule check, and control evidence were archived.",2025-01-21T00:02:00,State Government,US-West
FAGDD-083,Should a justice analytics workflow be escalated when jurisdictional residency controls conflict with model routing The decision must preserve sovereign routing and identity context evidence.,Azure,Hybrid inference pipeline with local data residency controls,justice,Sensitive,County,NIST SP 800-207,High-impact automated decisions require dual logging and human oversight before production release.,Allowed,"The explanation reflects a standards-aware control decision in which the deployment model, classification level, and security control posture were evaluated before approval, denial, or escalation.",Medium,Partially Compliant,No,Approved with Conditions,Service principal request with workload identity and scoped token exchange,Attribute-based access control with sovereign boundary enforcement,"Audit event FAGDD-083 recorded federated policy evaluation in Azure; region=US-West; action=Allowed; compliance=Partially Compliant; identity claims, governance rule check, and control evidence were archived.",2025-01-21T04:13:00,State Government,US-West
FAGDD-084,Can a regional court-support agent invoke an external policy model without full identity provenance The decision must preserve sovereign routing and identity context evidence.,Azure,Multi-cloud governance mesh with shared audit services,justice,Restricted,City,EU AI Act 2024,Model invocation is restricted when zero-trust controls do not match jurisdictional access policy.,Allowed,"The response was generated after reviewing synthetic governance metadata, federated access conditions, and compliance thresholds associated with multi-cloud government AI operations.",Low,Compliant,No,Approved,Cross-agency reviewer with just-in-time access and session logging,Continuous audit logging with immutable retention policy,"Audit event FAGDD-084 recorded federated policy evaluation in Azure; region=US-West; action=Allowed; compliance=Compliant; identity claims, governance rule check, and control evidence were archived.",2025-01-21T08:24:00,State Government,US-West
FAGDD-085,Should a federated case-assistance model be blocked when audit continuity breaks across justice cloud environments The request includes policy-sensitive data handling constraints.,Azure,Agency-managed on-prem orchestration with cloud failover,justice,Mission Critical,Cross-Border Public Sector Coalition,NIST AI RMF 2023; NIST SP 800-207,Federated policy execution must preserve explainability artifacts for each approval or denial event.,Blocked,"The policy result reflects identity verification, classification handling, and federated audit obligations required by the selected governance framework.",Critical,Non-Compliant,Yes,Denied,Automated orchestration identity awaiting secondary policy attestation,Identity-aware proxy with workload attestation and token inspection,"Audit event FAGDD-085 recorded federated policy evaluation in Azure; region=US-West; action=Blocked; compliance=Non-Compliant; identity claims, governance rule check, and control evidence were archived.",2025-01-21T12:35:00,State Government,US-West
FAGDD-086,Can a legal services assistant use multi-cloud retrieval for sealed records review under conditional access The request includes policy-sensitive data handling constraints.,Azure,Centralized model registry with federated policy enforcement,justice,Public,Federal,NIST AI RMF 2023; ISO/IEC 22989:2022,Cross-tenant inference is blocked unless identity provenance is verified and the audit chain is complete.,Restricted,"The decision was derived by comparing the request against identity posture, sovereignty requirements, governance controls, and the referenced policy framework before determining the permitted AI action.",High,Requires Review,Yes,Escalated,Privileged analyst with conditional access and device trust attestation,Zero Trust network segmentation with policy decision point validation,"Audit event FAGDD-086 recorded federated policy evaluation in Azure; region=US-West; action=Restricted; compliance=Requires Review; identity claims, governance rule check, and control evidence were archived.",2025-01-21T16:46:00,State Government,US-West
FAGDD-087,Should a justice analytics workflow be escalated when jurisdictional residency controls conflict with model routing The request includes policy-sensitive data handling constraints.,Azure,Regional sovereign enclave with cross-cloud model routing,justice,Internal,State,EU AI Act 2024; ISO/IEC 22989:2022,Sensitive data movement requires sovereign routing and conditional approval under policy review.,Allowed,"The governance engine selected this outcome because the request crossed one or more policy boundaries involving jurisdiction, access assurance, and auditability in a federated cloud environment.",Medium,Partially Compliant,No,Approved,Agency operator using federated identity with region-bound claims,Confidential compute requirement with region-bound key management,"Audit event FAGDD-087 recorded federated policy evaluation in Azure; region=US-West; action=Allowed; compliance=Partially Compliant; identity claims, governance rule check, and control evidence were archived.",2025-01-21T20:57:00,State Government,US-West
FAGDD-088,Can a regional court-support agent invoke an external policy model without full identity provenance The request includes policy-sensitive data handling constraints.,Azure,Hybrid inference pipeline with local data residency controls,justice,Sensitive,County,NIST AI RMF 2023; EU AI Act 2024; NIST SP 800-207,High-impact automated decisions require dual logging and human oversight before production release.,Allowed,"The explanation reflects a standards-aware control decision in which the deployment model, classification level, and security control posture were evaluated before approval, denial, or escalation.",Low,Compliant,No,Approved,Service principal request with workload identity and scoped token exchange,Attribute-based access control with sovereign boundary enforcement,"Audit event FAGDD-088 recorded federated policy evaluation in Azure; region=US-West; action=Allowed; compliance=Compliant; identity claims, governance rule check, and control evidence were archived.",2025-01-22T00:08:00,State Government,US-West
